"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.159553900E-1,-8.621249795E-1,1.712837458E0,-2.388512373E0,3.063015343E0
5.184600050E-1,-8.596500158E-1,1.621124983E0,-2.344512463E0,2.977210615E0
5.209648510E-1,-8.522250056E-1,1.534362435E0,-2.302987576E0,2.895566839E0
5.234692380E-1,-8.449375033E-1,1.451312542E0,-2.266412497E0,2.820789443E0
5.259738510E-1,-8.351749778E-1,1.379262447E0,-2.235749960E0,2.756530433E0
5.284786970E-1,-8.204625249E-1,1.315737486E0,-2.211412430E0,2.700864458E0
5.309843130E-1,-7.984625101E-1,1.261975050E0,-2.197937489E0,2.657264121E0
5.334879300E-1,-7.691749930E-1,1.211925030E0,-2.194225073E0,2.622025194E0
5.359923130E-1,-7.349374890E-1,1.162974954E0,-2.201649904E0,2.596132924E0
5.384971590E-1,-6.910749674E-1,1.120212436E0,-2.218699932E0,2.579746092E0
5.410017710E-1,-6.470749974E-1,1.075112462E0,-2.240700006E0,2.568133442E0
5.435063870E-1,-5.968874693E-1,1.038399935E0,-2.263937473E0,2.561242269E0
5.460110020E-1,-5.468375087E-1,1.009112477E0,-2.287174940E0,2.559005365E0
5.485156180E-1,-4.930749834E-1,9.956374764E-1,-2.309175014E0,2.562558521E0
5.510212350E-1,-4.405499995E-1,9.919250011E-1,-2.323750019E0,2.564724870E0
5.535251600E-1,-3.905000091E-1,9.956374764E-1,-2.329937458E0,2.563667841E0
5.560295450E-1,-3.415499926E-1,9.993500113E-1,-2.332274914E0,2.560246690E0
5.585343890E-1,-2.952125072E-1,1.006637454E0,-2.331037521E0,2.556209169E0
5.610390060E-1,-2.487374991E-1,1.020112514E0,-2.323750019E0,2.549963536E0
5.635433910E-1,-2.096875012E-1,1.031112552E0,-2.315224886E0,2.543113882E0
5.660482350E-1,-1.717374921E-1,1.044450045E0,-2.305462599E0,2.536834140E0
5.685526220E-1,-1.412124932E-1,1.050637484E0,-2.291987419E0,2.525269574E0
5.710583890E-1,-1.179749966E-1,1.053112507E0,-2.273699999E0,2.508520627E0
5.735620690E-1,-9.968750179E-2,1.049399972E0,-2.252937555E0,2.487349096E0
5.760667600E-1,-9.239999950E-2,1.044450045E0,-2.233412504E0,2.467295092E0
5.785713750E-1,-9.239999950E-2,1.037162542E0,-2.213749886E0,2.446412160E0
5.810759900E-1,-1.033999994E-1,1.028637528E0,-2.191887379E0,2.423459718E0
5.835805310E-1,-1.192125008E-1,1.021350026E0,-2.172224998E0,2.403316238E0
5.860852260E-1,-1.424500048E-1,1.000587463E0,-2.155174971E0,2.380387874E0
5.885897670E-1,-1.596374959E-1,9.431124926E-1,-2.144175053E0,2.347856887E0
5.910956110E-1,-1.754499972E-1,8.685874939E-1,-2.135649920E0,2.312191064E0
5.935989970E-1,-2.059749961E-1,8.173000216E-1,-2.127125025E0,2.288026638E0
5.961037070E-1,-2.451625019E-1,7.940624952E-1,-2.116125107E0,2.273461098E0
5.986083220E-1,-2.854500115E-1,7.830625176E-1,-2.101412535E0,2.260664340E0
6.011131680E-1,-3.207874894E-1,7.757750154E-1,-2.085599899E0,2.248212274E0
6.036175550E-1,-3.502124846E-1,7.757750154E-1,-2.070887566E0,2.238984361E0
6.061223990E-1,-3.819749951E-1,7.818250060E-1,-2.052599907E0,2.229421812E0
6.086270260E-1,-4.050749838E-1,7.855374813E-1,-2.029362440E0,2.213473919E0
6.111326400E-1,-4.222624898E-1,7.855374813E-1,-2.000075102E0,2.189903002E0
6.136362570E-1,-4.320249856E-1,7.842999697E-1,-1.965837479E0,2.160159490E0
6.161408710E-1,-4.332624972E-1,7.830625176E-1,-1.932837486E0,2.129968086E0
6.186454850E-1,-4.320249856E-1,7.781124711E-1,-1.898599982E0,2.096851568E0
6.211501000E-1,-4.320249856E-1,7.757750154E-1,-1.862025023E0,2.062912903E0
6.236547930E-1,-4.320249856E-1,7.745375037E-1,-1.827787519E0,2.031590792E0
6.261594100E-1,-4.307875037E-1,7.732999921E-1,-1.793550014E0,2.000098099E0
6.286640250E-1,-4.307875037E-1,7.745375037E-1,-1.764262438E0,1.974362724E0
6.311698610E-1,-4.235000014E-1,7.867749929E-1,-1.734837532E0,1.951417024E0
6.336734780E-1,-4.100250006E-1,8.123499751E-1,-1.709262490E0,1.936391294E0
6.361780910E-1,-3.953124881E-1,8.428750038E-1,-1.681212544E0,1.921766337E0
6.386827070E-1,-3.832125068E-1,8.758749962E-1,-1.646975040E0,1.904346507E0
6.411874240E-1,-3.697375059E-1,9.053000212E-1,-1.609025002E0,1.882879552E0
6.436919650E-1,-3.574999869E-1,9.370625019E-1,-1.569975019E0,1.862985221E0
6.461965780E-1,-3.367374837E-1,9.688249826E-1,-1.534500003E0,1.845725938E0
6.487011930E-1,-3.147374988E-1,1.004162550E0,-1.502737522E0,1.834563212E0
6.512068130E-1,-2.915000021E-1,1.040874958E0,-1.477162480E0,1.830410315E0
6.537105070E-1,-2.707374990E-1,1.077450037E0,-1.453925014E0,1.829780129E0
6.562151200E-1,-2.512125075E-1,1.116637468E0,-1.435637474E0,1.836039737E0
6.587199670E-1,-2.316875011E-1,1.162974954E0,-1.419687510E0,1.849784438E0
6.612243530E-1,-2.109249979E-1,1.209450006E0,-1.409924984E0,1.869531260E0
6.637292120E-1,-1.962125003E-1,1.258262515E0,-1.404974937E0,1.896227433E0
6.662338300E-1,-1.779250056E-1,1.312024951E0,-1.402637482E0,1.928849057E0
6.687382140E-1,-1.607374996E-1,1.371974945E0,-1.404974937E0,1.970306161E0
6.712439820E-1,-1.449249983E-1,1.435500026E0,-1.409924984E0,2.017313074E0
6.737476850E-1,-1.289750040E-1,1.492837548E0,-1.418449998E0,2.063298062E0
6.762522980E-1,-1.168750003E-1,1.547837496E0,-1.426975012E0,2.108487222E0
6.787569140E-1,-1.082125008E-1,1.604074955E0,-1.431924939E0,2.152945758E0
6.812616060E-1,-1.046374962E-1,1.650412440E0,-1.433162451E0,2.188324665E0
6.837661460E-1,-9.968750179E-2,1.693174958E0,-1.426975012E0,2.216537101E0
6.862707510E-1,-9.968750179E-2,1.728649974E0,-1.412400007E0,2.234511604E0
6.887753660E-1,-1.058750004E-1,1.749412537E0,-1.390399933E0,2.237155719E0
6.912809820E-1,-1.156374961E-1,1.755599976E0,-1.363450050E0,2.225870469E0
6.937849070E-1,-1.289750040E-1,1.746937513E0,-1.330449939E0,2.199664126E0
6.962895050E-1,-1.461624950E-1,1.722599983E0,-1.301162481E0,2.163732419E0
6.987941200E-1,-1.669249982E-1,1.672412515E0,-1.273112535E0,2.108469374E0
7.012987360E-1,-1.889249980E-1,1.604074955E0,-1.249874949E0,2.042287077E0
7.038033510E-1,-2.121624947E-1,1.518550038E0,-1.232825041E0,1.967451327E0
7.063079530E-1,-2.364999950E-1,1.414737463E0,-1.221825004E0,1.884216197E0
7.088125680E-1,-2.659249902E-1,1.299787521E0,-1.214400053E0,1.798591446E0
7.113181830E-1,-2.964499891E-1,1.175212502E0,-1.209587455E0,1.712340163E0
7.138218010E-1,-3.269749880E-1,1.032349944E0,-1.204637527E0,1.619818083E0
7.163264280E-1,-3.562625051E-1,8.733999729E-1,-1.198587537E0,1.525241807E0
7.188310440E-1,-3.953124881E-1,7.255874872E-1,-1.192399979E0,1.450712540E0
7.213356590E-1,-4.405499995E-1,5.839625001E-1,-1.181537509E0,1.389650096E0
7.238402740E-1,-4.747875035E-1,4.409624934E-1,-1.164350033E0,1.332509697E0
7.263449910E-1,-5.102624893E-1,2.968625128E-1,-1.143587470E0,1.286968322E0
7.288495310E-1,-5.383124948E-1,1.710499972E-1,-1.120350003E0,1.254680267E0
7.313553750E-1,-5.627874732E-1,5.252499878E-2,-1.096012473E0,1.233179613E0
7.338588390E-1,-5.883625150E-1,-5.142499879E-2,-1.076349974E0,1.227739486E0
7.363634620E-1,-6.115999818E-1,-1.442375034E-1,-1.064249992E0,1.235915467E0
7.388683080E-1,-6.323624849E-1,-2.125750035E-1,-1.054350019E0,1.247687624E0
7.413729260E-1,-6.580749750E-1,-2.542375028E-1,-1.049537539E0,1.264606036E0
7.438775410E-1,-6.848874688E-1,-2.761000097E-1,-1.048300028E0,1.282277274E0
7.463821570E-1,-7.154124975E-1,-2.835249901E-1,-1.050775051E0,1.302432213E0
7.488867720E-1,-7.411249876E-1,-2.957625091E-1,-1.055587530E0,1.323256114E0
7.513923850E-1,-7.655999660E-1,-3.103374839E-1,-1.058062553E0,1.342366950E0
7.538960800E-1,-7.948874831E-1,-3.067624867E-1,-1.063012481E0,1.362330675E0
7.564006930E-1,-8.314625025E-1,-2.895750105E-1,-1.069062471E0,1.384946984E0
