"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.361805570E-1,-1.620712519E0,3.096912384E0,-1.736075044E0,3.902759529E0
6.386852490E-1,-1.598712444E0,3.335200071E0,-1.836312532E0,4.129344344E0
6.411900950E-1,-1.568187475E0,3.569774866E0,-1.935312510E0,4.352923048E0
6.436947130E-1,-1.535187483E0,3.800637484E0,-2.029362440E0,4.573834037E0
6.462003360E-1,-1.504662514E0,4.016924858E0,-2.113650084E0,4.781967301E0
6.487039530E-1,-1.480187535E0,4.212450027E0,-2.186937571E0,4.971758875E0
6.512086440E-1,-1.469187498E0,4.378550053E0,-2.245512486E0,5.135420021E0
6.537132590E-1,-1.475374937E0,4.520312309E0,-2.288275003E0,5.276945809E0
6.562178740E-1,-1.502187490E0,4.631412506E0,-2.318799973E0,5.392901109E0
6.587224900E-1,-1.542612433E0,4.703462601E0,-2.328700066E0,5.470380019E0
6.612271050E-1,-1.593899965E0,4.735225201E0,-2.321274996E0,5.509191629E0
6.637317210E-1,-1.647662520E0,4.729175091E0,-2.295700073E0,5.509094993E0
6.662374900E-1,-1.707474947E0,4.703462601E0,-2.255275011E0,5.488560513E0
6.687409480E-1,-1.761237502E0,4.675412655E0,-2.200412512E0,5.459235867E0
6.712457930E-1,-1.808949947E0,4.643650055E0,-2.134412527E0,5.421393048E0
6.737504080E-1,-1.846762538E0,4.613124847E0,-2.059887409E0,5.379088107E0
6.762550230E-1,-1.872475028E0,4.587412357E0,-1.976837516E0,5.334641640E0
6.787596390E-1,-1.885812521E0,4.554412365E0,-1.885125041E0,5.277561679E0
6.812642540E-1,-1.890762448E0,4.483600140E0,-1.789837480E0,5.184705493E0
6.837688700E-1,-1.884575009E0,4.351737499E0,-1.706787467E0,5.040075960E0
6.862747160E-1,-1.860237479E0,4.159787655E0,-1.632537484E0,4.840402406E0
6.887781790E-1,-1.827237487E0,3.906787395E0,-1.564062476E0,4.587818220E0
6.912828030E-1,-1.789425015E0,3.618449926E0,-1.503012538E0,4.307466592E0
6.937874180E-1,-1.735662460E0,3.394875050E0,-1.433437467E0,4.073382348E0
6.962922640E-1,-1.634187460E0,3.327775002E0,-1.347912550E0,3.944809673E0
6.987968820E-1,-1.534087539E0,3.197012424E0,-1.261150002E0,3.763616924E0
7.013014960E-1,-1.464375019E0,2.842674971E0,-1.190199971E0,3.412003980E0
7.038061110E-1,-1.392325044E0,2.356474876E0,-1.130387545E0,2.961303576E0
7.063117250E-1,-1.297037482E0,1.872750044E0,-1.072912455E0,2.518062766E0
7.088154190E-1,-1.171224952E0,1.468362451E0,-1.005812526E0,2.130613764E0
7.113202630E-1,-1.014750004E0,1.148262501E0,-9.300500154E-1,1.792544943E0
7.138248810E-1,-8.376500010E-1,8.769749999E-1,-8.470000029E-1,1.479240237E0
7.163294960E-1,-6.483125091E-1,6.168249846E-1,-7.614749670E-1,1.175000552E0
7.188341110E-1,-4.492124915E-1,3.528249860E-1,-6.747124791E-1,8.840329534E-1
7.213387270E-1,-2.426874936E-1,8.648750186E-2,-5.952374935E-1,6.486023290E-1
7.238433380E-1,-2.763750032E-2,-1.834249943E-1,-5.244249701E-1,5.562644239E-1
7.263489520E-1,1.934625059E-1,-4.510000050E-1,-4.633750021E-1,6.749408406E-1
7.288526460E-1,4.145624936E-1,-7.173374891E-1,-4.169000089E-1,9.274916451E-1
7.313571820E-1,6.406124830E-1,-9.824374914E-1,-3.790875077E-1,1.232588786E0
7.338618750E-1,8.714749813E-1,-1.242725015E0,-3.508999944E-1,1.557871917E0
7.363664840E-1,1.102475047E0,-1.510162473E0,-3.253250122E-1,1.897861504E0
7.388713300E-1,1.335812449E0,-1.772925019E0,-3.057999909E-1,2.240797103E0
7.413757170E-1,1.573962450E0,-2.036787510E0,-2.898499966E-1,2.590342482E0
7.438805610E-1,1.811012506E0,-2.292124987E0,-2.776125073E-1,2.934394649E0
7.463861620E-1,2.046824932E0,-2.535224915E0,-2.690874934E-1,3.269444257E0
7.488898570E-1,2.284975052E0,-2.760037422E0,-2.653749883E-1,3.592957200E0
7.513944700E-1,2.520787477E0,-2.964087486E0,-2.653749883E-1,3.900077950E0
